Name,WMC,LCOM,DIT,CBO,RFC,LCAM,LOC,IsBuggy
PDFRenderer_2.0.26,27,0.932,0.0,15.0,43.0,0.825,223,1
PageDrawer_2.0.26,132,0.973,2.0,41.0,162.0,0.898,956,1
TextToPDF_2.0.26,10,0.969,0.0,3.0,9.0,0.711,218,1
DateConverter_2.0.26,5,0.0,0.0,0.0,2.0,0.25,236,0
Matrix_2.0.26,59,0.654,0.0,5.0,47.0,0.803,251,1
DateConverter_2.0.26,1,0.0,0.0,0.0,1.0,0.0,164,0
CFFParser_2.0.27,86,0.0,0.0,14.0,47.0,0.67,810,1
CMapParser_2.0.27,24,1.0,0.0,1.0,11.0,0.583,395,1
PfbParser_2.0.27,15,0.9,0.0,0.0,7.0,0.357,72,1
CmapSubtable_2.0.27,101,0.837,0.0,3.0,34.0,0.395,334,1
GlyphTable_2.0.27,24,0.625,1.0,6.0,22.0,0.6,71,1
Type1Parser_2.0.27,97,0.656,0.0,6.0,25.0,0.571,449,1
PDFStreamEngine_2.0.27,82,0.844,0.0,32.0,155.0,0.914,382,1
COSDictionary_2.0.27,64,0.667,1.0,10.0,46.0,0.749,396,1
UnmodifiableCOSDictionary_2.0.27,3,0.0,2.0,0.0,3.0,0.333,10,0
EncryptFlag_2.0.27,1,0.0,1.0,1.0,1.0,0.0,23,0
PagePane_2.0.27,23,0.95,0.0,21.0,45.0,0.417,235,1
OpaquePDFRenderer_2.0.27,2,0.0,1.0,3.0,2.0,0.333,50,1
DCTFilter_2.0.27,3,0.0,1.0,1.0,1.0,0.0,187,1
Filter_2.0.27,13,0.0,0.0,5.0,8.0,0.444,44,0
LayerUtility_2.0.27,15,0.75,0.0,18.0,80.0,0.458,126,0
Overlay_2.0.27,67,0.878,0.0,12.0,84.0,0.754,310,1
PDFCloneUtility_2.0.27,20,0.75,0.0,10.0,22.0,0.444,127,1
PDFMergerUtility_2.0.27,195,0.882,0.0,40.0,200.0,0.882,680,0
BaseParser_2.0.27,193,0.942,0.0,15.0,59.0,0.818,564,1
COSParser_2.0.27,340,0.939,1.0,24.0,173.0,0.854,1327,0
PDFStreamParser_2.0.27,41,1.0,1.0,8.0,20.0,0.75,189,0
PDDocument_2.0.27,96,0.911,0.0,35.0,157.0,0.907,510,1
PDDocumentCatalog_2.0.27,66,0.759,0.0,31.0,58.0,0.922,183,1
PDPage_2.0.27,60,0.781,0.0,17.0,67.0,0.86,260,0
PDResources_2.0.27,102,0.429,0.0,16.0,79.0,0.853,252,1
PDStream_2.0.27,23,0.536,0.0,10.0,40.0,0.82,157,0
PDFunctionType0_2.0.27,26,1.0,1.0,7.0,56.0,0.692,159,0
PDFunctionType3_2.0.27,20,1.0,1.0,5.0,30.0,0.643,62,1
PDPropertyList_2.0.27,6,0.0,0.0,5.0,5.0,0.25,17,0
AccessPermission_2.0.27,44,0.909,0.0,0.0,30.0,0.633,124,1
SecurityHandler_2.0.27,54,0.94,0.0,14.0,35.0,0.868,237,0
FDFAnnotationCaret_2.0.27,5,0.0,1.0,4.0,10.0,0.5,41,0
FDFField_2.0.27,32,0.0,0.0,11.0,32.0,0.85,274,0
FDFJavaScript_2.0.27,3,0.0,0.0,1.0,3.0,0.333,49,0
CMapManager_2.0.27,1,0.0,0.0,0.0,1.0,0.0,15,1
FileSystemFontProvider_2.0.27,19,0.5,1.0,5.0,5.0,0.25,428,0
FontMapperImpl_2.0.27,21,1.0,0.0,8.0,10.0,0.667,329,1
PDCIDFont_2.0.27,54,0.87,0.0,11.0,32.0,0.605,180,1
PDCIDFontType2Embedder_2.0.27,57,0.929,1.0,17.0,41.0,0.679,360,1
PDFont_2.0.27,62,0.823,0.0,13.0,77.0,0.725,225,0
PDPanose_2.0.27,3,0.75,0.0,1.0,3.0,0.333,10,0
PDTrueTypeFont_2.0.27,78,0.891,2.0,24.0,90.0,0.741,280,1
PDType0Font_2.0.27,56,0.856,1.0,16.0,94.0,0.715,228,1
PDType1Font_2.0.27,74,1.003,2.0,20.0,97.0,0.594,301,1
PDType3CharProc_2.0.27,18,0.611,0.0,10.0,22.0,0.593,72,0
TrueTypeEmbedder_2.0.27,32,0.875,0.0,15.0,92.0,0.685,177,1
PDXObject_2.0.27,16,0.0,0.0,12.0,14.0,0.714,44,1
PDColor_2.0.27,19,0.5,0.0,6.0,19.0,0.618,68,1
PDDeviceNAttributes_2.0.27,6,0.0,0.0,3.0,8.0,0.4,54,0
CCITTFactory_2.0.27,12,0.0,0.0,11.0,24.0,0.524,201,0
PDOptionalContentMembershipDictionary_2.0.27,5,0.0,1.0,2.0,10.0,0.5,30,0
PDGraphicsState_2.0.27,53,0.975,0.0,10.0,54.0,0.9,179,0
PDActionEmbeddedGoTo_2.0.27,20,0.0,1.0,10.0,25.0,0.75,50,1
PDActionGoTo_2.0.27,7,0.0,1.0,6.0,15.0,0.5,18,0
PDAbstractAppearanceHandler_2.0.27,37,0.722,0.0,13.0,89.0,0.796,192,0
